call_type_id,short_label,display_name,short_label_slug,taxon_id,taxon_common_name,taxon_scientific_name,taxon_slug,taxon_type,description,diagnostic_features,call_type_notes,asset_id,asset_type,source_annotation_id,is_featured,sort_order,caption,asset_notes,source_file_path,export_file_path,export_audio_file_path
4,brown quail,Brown Quail two note upward,brown-quail,7,Brown Quail,,brown-quail,species,,,,9,audio,62,0,1,Example 1,,06_reference_library/brown quail/brown quail_01.wav,assets/brown-quail/brown-quail_01.wav,assets/brown-quail/brown-quail_01.mp3
4,brown quail,Brown Quail two note upward,brown-quail,7,Brown Quail,,brown-quail,species,,,,10,image,62,0,1,Example 1,,06_reference_library/brown quail/brown quail_01.png,assets/brown-quail/brown-quail_01.png,assets/brown-quail/brown-quail_01.png
4,brown quail,Brown Quail two note upward,brown-quail,7,Brown Quail,,brown-quail,species,,,,11,audio,146,0,2,Example 2,,06_reference_library/brown quail/brown quail_02.wav,assets/brown-quail/brown-quail_02.wav,assets/brown-quail/brown-quail_02.mp3
4,brown quail,Brown Quail two note upward,brown-quail,7,Brown Quail,,brown-quail,species,,,,12,image,146,0,2,Example 2,,06_reference_library/brown quail/brown quail_02.png,assets/brown-quail/brown-quail_02.png,assets/brown-quail/brown-quail_02.png
4,brown quail,Brown Quail two note upward,brown-quail,7,Brown Quail,,brown-quail,species,,,,13,audio,239,0,3,Example 3,,06_reference_library/brown quail/brown quail_03.wav,assets/brown-quail/brown-quail_03.wav,assets/brown-quail/brown-quail_03.mp3
4,brown quail,Brown Quail two note upward,brown-quail,7,Brown Quail,,brown-quail,species,,,,14,image,239,0,3,Example 3,,06_reference_library/brown quail/brown quail_03.png,assets/brown-quail/brown-quail_03.png,assets/brown-quail/brown-quail_03.png
5,buff-banded rail,Buff-banded Rail preenk,buff-banded-rail,4,Buff-banded Rail,,buff-banded-rail,species,,,,3,audio,5,0,1,Example 1,,06_reference_library/buff-banded rail/buff-banded rail_01.wav,assets/buff-banded-rail/buff-banded-rail_01.wav,assets/buff-banded-rail/buff-banded-rail_01.mp3
5,buff-banded rail,Buff-banded Rail preenk,buff-banded-rail,4,Buff-banded Rail,,buff-banded-rail,species,,,,4,image,5,0,1,Example 1,,06_reference_library/buff-banded rail/buff-banded rail_01.png,assets/buff-banded-rail/buff-banded-rail_01.png,assets/buff-banded-rail/buff-banded-rail_01.png
5,buff-banded rail,Buff-banded Rail preenk,buff-banded-rail,4,Buff-banded Rail,,buff-banded-rail,species,,,,5,audio,6,0,2,Example 2,,06_reference_library/buff-banded rail/buff-banded rail_02.wav,assets/buff-banded-rail/buff-banded-rail_02.wav,assets/buff-banded-rail/buff-banded-rail_02.mp3
5,buff-banded rail,Buff-banded Rail preenk,buff-banded-rail,4,Buff-banded Rail,,buff-banded-rail,species,,,,6,image,6,0,2,Example 2,,06_reference_library/buff-banded rail/buff-banded rail_02.png,assets/buff-banded-rail/buff-banded-rail_02.png,assets/buff-banded-rail/buff-banded-rail_02.png
5,buff-banded rail,Buff-banded Rail preenk,buff-banded-rail,4,Buff-banded Rail,,buff-banded-rail,species,,,,7,audio,7,0,3,Example 3,,06_reference_library/buff-banded rail/buff-banded rail_03.wav,assets/buff-banded-rail/buff-banded-rail_03.wav,assets/buff-banded-rail/buff-banded-rail_03.mp3
5,buff-banded rail,Buff-banded Rail preenk,buff-banded-rail,4,Buff-banded Rail,,buff-banded-rail,species,,,,8,image,7,0,3,Example 3,,06_reference_library/buff-banded rail/buff-banded rail_03.png,assets/buff-banded-rail/buff-banded-rail_03.png,assets/buff-banded-rail/buff-banded-rail_03.png
